Designator,mid x,mid y,Rotation,Side
C18,7.77,41.20,0,Top
C19,13.65,53.24,0,Top
C25,72.17,15.70,90,Top
C2,50.25,23.79,90,Top
C4,52.79,23.80,90,Top
C6,60.41,23.80,90,Top
C8,60.41,32.36,90,Top
C10,66.53,23.08,0,Top
C24,75.02,15.67,90,Top
C1,45.17,23.81,90,Top
C3,55.33,13.17,90,Top
C5,58.89,14.19,0,Top
C7,67.07,32.38,90,Top
C9,66.52,19.28,0,Top
C13,69.30,88.24,90,Top
C15,82.30,90.16,90,Top
C30,57.87,71.92,90,Top
C31,34.65,34.24,0,Top
C11,62.71,61.52,0,Top
C12,83.19,47.21,0,Top
C20,13.67,50.72,0,Top
C34,31.61,25.96,0,Top
C16,78.83,90.53,270,Top
R25,72.54,58.34,0,Top
R27,72.55,53.26,0,Top
R31,72.55,38.65,0,Top
R32,72.55,43.40,0,Top
R54,36.71,25.99,0,Top
R2,47.71,23.80,90,Top
R4,55.33,23.80,90,Top
R6,57.87,23.81,90,Top
R8,63.64,31.37,0,Top
R22,70.57,22.22,90,Top
R41,34.63,31.68,0,Top
R11,31.50,84.29,90,Top
R12,31.50,91.60,90,Top
R15,13.73,91.60,90,Top
R16,13.73,84.28,90,Top
R21,69.61,32.37,90,Top
R23,88.00,53.29,0,Top
R24,87.97,55.80,0,Top
R29,88.12,38.68,0,Top
R30,88.12,41.19,0,Top
R39,78.44,11.65,0,Top
R40,83.36,11.68,0,Top
R50,45.17,71.74,90,Top
R51,28.02,71.74,90,Top
R57,36.59,71.74,90,Top
R58,53.73,71.73,90,Top
R59,90.64,22.78,0,Top
R60,91.20,14.13,90,Top
R1,46.20,18.36,0,Top
R3,48.32,14.22,0,Top
R61,64.22,82.21,90,Top
R66,67.46,58.34,0,Top
R67,67.45,53.26,0,Top
R68,67.46,43.41,0,Top
R69,67.46,38.68,0,Top
R7,73.16,31.37,0,Top
R63,11.45,11.38,0,Top
R76,7.76,38.96,0,Top
R9,34.05,84.28,90,Top
R10,34.05,91.59,90,Top
R13,16.59,91.59,90,Top
R14,16.59,84.28,90,Top
R35,87.96,58.34,0,Top
R36,88.10,43.74,0,Top
R37,87.96,50.75,0,Top
R38,88.11,36.14,0,Top
R48,45.17,66.83,90,Top
R49,28.03,66.84,90,Top
R55,36.58,66.83,90,Top
R56,53.73,66.84,90,Top
D15,85.19,86.97,270,Top
LED1,62.70,58.34,0,Top
LED2,62.71,53.26,0,Top
LED3,62.70,43.40,0,Top
LED4,62.70,38.65,0,Top
IC6,9.46,19.73,270,Top
