Designator,Package,Value,Package Met,Part Number
C16,1206,TAJA106K016RNJ,3216,C7171
"C2,C4,C6,C8,C10,C24,C27,C29",0805,0.1uF / 100nF,,C49678
"C1,C3,C5,C7,C9,C13,C15,C26,C28,C30",0805,0.22uF,,C5378 
"C19,C25",0805,0.01uF,,C1710 
"C11,C12,C20",0805,1uF,,C28323
C18,0805,470PF,,C1743 
,,,,
"R11,R12,R15,R16,R21,R23,R24,R29,R30,R39,R40,R50,R51,R57,R58,R59,R60",0805,1k,,C17513
"R9,R10,R13,R14,R35,R36,R37,R38,R48,R49,R55,R56",0805,100k,,C17407 
"R2,R4,R6,R8,R22,R41,R64,R65",0805,470,,C17710 
"R25,R27,R31,R32",0805,10,,C17415
R7,0805,3.9k,,C17614
R63,0805,10k,,C17414
"R1,R3,R61,R66,R67,R68,R69",0805,2.49K,,C64467
R54,0805,56,,C17757
,,,,
"LED1,LED2,LED3,LED4",0805,FC-2012HRK-620D,,C84256
,,,,
IC6,SOIC16,ULN2003A,,C7512
