"Designator","X(mm)","Y(mm)","Rotation","Side"
"C1","46.42","26.21","90","Top"
"C2","50.25","26.24","90","Top"
"C3","53.78","21.69","0","Top"
"C4","52.77","26.24","90","Top"
"C5","59.32","21.72","0","Top"
"C6","56.60","26.24","90","Top"
"C7","63.26","40.08","90","Top"
"C8","57.87","40.06","90","Top"
"C9","74.13","21.69","0","Top"
"C10","73.09","26.21","90","Top"
"C11","63.81","60.12","0","Top"
"C12","75.45","52.18","0","Top"
"C18","14.47","38.53","0","Top"
"C19","49.81","61.28","90","Top"
"C20","51.74","61.35","90","Top"
"C24","90.46","17.55","0","Top"
"C25","90.49","25.83","0","Top"
"C26","63.94","21.67","0","Top"
"C27","62.95","26.21","90","Top"
"C28","68.82","21.69","0","Top"
"C29","69.86","26.21","90","Top"
"C31","48.37","38.53","0","Top"
"C32","63.78","62.05","0","Top"
"C33","75.44","50.29","0","Top"
"C34","36.65","34.56","0","Top"
"C13","64.23","92.07","90","Top"
"C15","82.41","93.14","180","Top"
"C14","67.40","91.77","90","Top"
"C16","82.79","89.97","180","Top"
"R2","48.35","26.24","90","Top"
"R4","54.67","26.21","90","Top"
"R6","58.48","26.21","90","Top"
"R7","67.93","39.17","0","Top"
"R8","60.64","39.19","0","Top"
"R9","38.51","84.23","90","Top"
"R10","38.51","90.91","90","Top"
"R11","36.27","84.29","90","Top"
"R12","36.28","90.98","90","Top"
"R13","21.98","84.30","90","Top"
"R14","21.98","90.98","90","Top"
"R15","19.80","84.29","90","Top"
"R16","19.78","90.94","90","Top"
"R21","65.14","40.08","90","Top"
"R22","74.99","26.21","90","Top"
"R23","86.32","55.32","0","Top"
"R24","86.32","57.89","0","Top"
"R29","86.32","45.49","0","Top"
"R30","86.32","48.03","0","Top"
"R35","86.35","59.77","0","Top"
"R36","86.35","49.86","0","Top"
"R37","86.32","53.42","0","Top"
"R38","86.32","43.59","0","Top"
"R39","80.00","13.46","0","Top"
"R40","84.65","13.46","0","Top"
"R41","48.37","36.62","0","Top"
"R48","47.40","70.12","90","Top"
"R49","32.80","70.11","90","Top"
"R50","47.40","74.44","90","Top"
"R51","32.80","74.43","90","Top"
"R55","40.10","70.13","90","Top"
"R56","54.71","70.12","90","Top"
"R57","40.10","74.43","90","Top"
"R58","54.71","74.43","90","Top"
"R59","90.49","23.93","0","Top"
"R60","90.49","15.67","0","Top"
"R61","59.35","72.66","90","Top"
"R62","36.66","32.80","0","Top"
"R63","55.19","14.40","0","Top"
"R64","64.86","26.19","90","Top"
"R65","68.03","26.24","90","Top"
"R66","67.50","57.89","0","Top"
"R67","67.50","55.35","0","Top"
"R68","67.50","48.03","0","Top"
"R69","67.50","45.52","0","Top"
"R75","50.81","12.27","270","Top"
"R76","14.49","36.63","0","Top"
"R77","56.49","82.04","0","Top"
"R78","56.49","84.28","0","Top"
"R79","58.50","75.83","0","Top"
"R80","7.51","60.81","0","Top"
"R81","7.51","58.21","0","Top"
"R82","7.51","55.67","0","Top"
"R83","7.51","53.13","0","Top"
"R25","71.96","57.89","0","Top"
"R27","71.96","55.35","0","Top"
"R31","71.90","45.51","0","Top"
"R32","71.90","48.05","0","Top"
"F1","57.93","93.14","0","Top"
"D15","83.45","85.85","0","Top"
"D20","14.54","60.70","0","Top"
"D21","14.58","58.16","0","Top"
"D22","14.58","55.73","0","Top"
"D23","14.54","53.13","0","Top"
"U1","73.02","86.89","270","Top"
"LED1","63.79","57.89","0","Top"
"LED2","63.82","55.35","0","Top"
"LED3","63.82","48.06","0","Top"
"LED4","63.84","45.49","0","Top"
"LED5","11.10","60.70","180","Top"
"LED6","11.13","58.27","180","Top"
"LED7","11.10","55.67","180","Top"
"LED8","11.10","53.08","180","Top"
"IC6","61.84","9.93","90","Top"
"IC1","79.59","56.03","90","Top"
"IC2","79.59","46.13","90","Top"
"IC7","80.35","34.06","0","Top"
"IC8","61.94","34.04","0","Top"
"IC9","51.78","34.09","0","Top"
"IC10","58.43","67.04","270","Top"
